Variable,parcode,sd01T1.1,sd01T1.2,sd02T1.1,sd02T1.2,sd04T1.1,sd04T1.2,sd05aT1.1,sd05aT1.2,reldur.1,reldur.2,m_n_s.1,m_n_s.2,m_e_s.1,m_e_s.2,m_o_s.1,m_o_s.2,m_a_s.1,m_a_s.2,m_c_s.1,m_c_s.2,m_ras.1,m_ras.2,m_rasT2.1,m_rasT2.2,psd_m_n_s.1,psd_m_n_s.2,psd_m_e_s.1,psd_m_e_s.2,psd_m_o_s.1,psd_m_o_s.2,psd_m_a_s.1,psd_m_a_s.2,psd_m_c_s.1,psd_m_c_s.2,psd_m_ras.1,psd_m_ras.2,psd_m_rasT2.1,psd_m_rasT2.2
Label,Paarcode,Geschlecht.1,Geschlecht.2,sd02T1.1: Alter in Jahren,sd02T1.2: Alter in Jahren,sd04T1.1: Zivilstand,sd04T1.2: Zivilstand,sd05aT1.1: falls Beziehung; seit wann? Eingabe in Monaten,sd05aT1.2: falls Beziehung; seit wann? Eingabe in Monaten,relationship duration in months,relationship duration in months,mean neuroticism female,mean neuroticism male,mean extraversion female,mean extraversion male,mean openness female,mean openness male,mean agreeableness female,mean agreeableness male,mean conscientiousness female,mean conscientiousness male,mean relationship satisfaction female,mean relationship satisfaction male,mean relationship satisfaction T2 female,mean relationship satisfaction T2 male,pooled standardized neuroticism female,pooled standardized neuroticism male,pooled standardized extraversion female,pooled standardized extraversion male,pooled standardized openness female,pooled standardized openness male,pooled standardized agreeableness female,pooled standardized agreeableness male,pooled standardized conscientiousness female,pooled standardized conscientiousness male,pooled standardized relationship satisfaction female,pooled standardized relationship satisfaction male,pooled standardized relationship satisfaction T2 female,pooled standardized relationship satisfaction T2 male
,1,1.00,2.00,20,26,1,1,15.0,16.0,15,16,3,3,4,3,3,4,4,4,4,4,4,5,,,-0.23,1.14,-0.15,-1.50,-0.82,1.12,-0.63,0.25,-0.46,-0.68,0.12,0.67,,
,2,1.00,2.00,77,77,2,2,888.0,888.0,586,586,3,2,4,4,4,3,4,4,5,4,5,5,4.86,5.00,-0.41,-0.10,0.94,-0.04,-0.28,-0.49,0.83,0.25,1.07,0.46,1.02,0.67,1.00,1.13
,3,1.00,2.00,53,55,2,2,888.0,888.0,258,248,2,2,4,4,4,4,5,4,4,4,4,5,,,-1.82,-0.81,0.76,0.51,0.61,1.12,1.59,0.88,0.31,0.27,0.12,0.44,,
,4,1.00,2.00,20,20,1,1,36.0,35.0,36,35,3,2,3,3,3,3,4,4,3,4,4,5,4.57,4.86,-0.05,-1.35,-1.06,-0.95,-0.46,-1.21,0.83,-0.16,-1.80,-0.49,0.34,0.67,0.52,0.89
,5,1.00,2.00,49,55,2,2,888.0,888.0,326,326,3,3,5,4,4,4,4,3,4,4,3,4,2.57,3.86,-0.58,0.43,1.31,-0.04,0.61,0.40,-0.22,-1.21,-0.84,0.46,-1.92,-0.69,-2.82,-0.78
,6,1.00,2.00,24,21,1,1,81.0,80.0,81,80,4,2,4,5,4,3,4,4,4,4,5,5,,,1.01,-0.81,0.21,1.79,0.97,-1.03,-0.63,0.46,-0.46,0.27,0.80,0.67,,
,7,1.00,2.00,52,52,2,2,888.0,888.0,258,258,2,3,3,4,3,3,4,5,5,5,4,4,3.86,3.71,-1.29,0.07,-0.51,0.69,-1.35,-1.57,0.20,1.92,1.27,1.23,-0.33,-0.46,-0.67,-1.01
,8,1.00,2.00,79,79,2,2,888.0,888.0,658,658,3,2,4,4,2,3,4,4,4,5,5,5,,,0.66,-0.28,0.03,0.87,-2.17,-0.49,0.41,1.30,-0.27,1.23,1.25,1.12,,
,9,1.00,2.00,44,44,2,2,888.0,888.0,230,230,2,2,4,3,4,4,4,4,5,4,4,4,4.14,4.71,-1.65,-0.64,0.94,-1.32,0.61,0.94,0.83,0.04,0.88,0.66,-0.33,0.21,-0.20,0.65
,10,1.00,2.00,21,21,1,1,50.0,51.0,50,51,3,2,4,3,4,5,4,4,5,3,4,3,4.14,3.86,-0.41,-0.10,0.40,-0.77,0.08,1.48,0.83,-0.58,0.88,-0.88,0.12,-1.60,-0.20,-0.78
,11,1.00,2.00,50,57,2,2,888.0,888.0,273,273,4,3,3,4,3,5,4,4,4,4,4,4,3.00,4.43,1.19,0.43,-0.70,1.06,-0.64,1.48,-0.63,0.25,-0.27,0.27,-1.01,-0.24,-2.10,0.18
,12,1.00,2.00,20,26,1,1,10.0,10.0,10,10,3,2,5,5,4,3,3,3,3,4,4,5,,,-0.41,-0.99,1.31,1.60,-0.10,-1.03,-1.68,-1.21,-1.03,0.27,0.34,0.89,,
,13,1.00,2.00,56,56,2,2,888.0,888.0,306,306,3,2,4,4,4,4,4,4,4,4,5,4,4.57,4.43,-0.23,-0.81,0.40,0.87,0.79,0.76,0.83,0.25,-0.27,0.46,0.57,0.21,0.52,0.18
,14,1.00,2.00,50,48,2,2,888.0,888.0,36,36,2,4,5,3,4,3,4,3,5,3,4,4,4.43,3.43,-1.11,1.85,1.49,-0.77,0.26,-0.49,-0.42,-2.46,1.07,-1.26,0.34,-1.14,0.28,-1.49
,15,1.00,2.00,51,56,2,2,888.0,888.0,256,256,2,2,4,3,3,4,5,4,4,4,4,4,,,-1.29,-0.28,0.58,-0.40,-0.64,-0.31,1.24,0.46,0.31,0.08,-0.33,-1.14,,
,16,1.00,2.00,51,50,2,2,888.0,888.0,281,281,4,2,2,3,3,4,4,4,4,5,4,5,,,0.84,-1.35,-1.97,-0.22,-0.64,0.04,0.41,1.09,0.12,1.61,-0.11,0.44,,
,17,1.00,2.00,20,25,1,1,14.5,14.5,15,15,3,2,4,4,4,4,4,4,3,5,4,4,,,-0.58,-0.81,0.21,1.06,-0.10,0.22,-0.22,-0.16,-1.41,1.04,0.12,0.21,,
,18,1.00,2.00,44,55,2,2,888.0,888.0,266,266,2,3,5,4,4,4,4,4,5,5,4,4,,,-1.29,0.07,1.13,0.87,0.61,0.94,0.41,0.04,1.46,1.80,0.12,-0.24,,
