paarcode,g_1,g_2,age_1,age_2,civil_status_1,civil_status_2,duration_months_1,duration_months_2,n_m_1,n_m_2,n_e_1,n_e_2,n_o_1,n_o_2,n_a_1,n_a_2,n_c_1,n_c_2,mean_relationship_satisfaction_1,mean_relationship_satisfaction_2,mean_relationship_satisfaction_T2_1,mean_relationship_satisfaction_T2_2,pooled_standardized_n_1,pooled_standardized_n_2,pooled_standardized_e_1,pooled_standardized_e_2,pooled_standardized_o_1,pooled_standardized_o_2,pooled_standardized_a_1,pooled_standardized_a_2,pooled_standardized_c_1,pooled_standardized_c_2,pooled_standardized_relationship_satisfaction_1,pooled_standardized_relationship_satisfaction_2,pooled_standardized_relationship_satisfaction_T2_1,pooled_standardized_relationship_satisfaction_T2_2
1,1,2,20,26,1,1,15,16,3,3,4,3,3,4,4,4,4,4,4,5,,,-0.23,1.14,-0.15,-1.5,-0.82,1.12,-0.63,0.25,-0.46,-0.68,0.12,0.67,,
2,1,2,77,77,2,2,586,586,3,2,4,4,4,3,4,4,5,4,5,5,4.86,5,-0.41,-0.1,0.94,-0.04,-0.28,-0.49,0.83,0.25,1.07,0.46,1.02,0.67,1,1.13
3,1,2,53,55,2,2,258,248,2,2,4,4,4,4,5,4,4,4,4,5,,,-1.82,-0.81,0.76,0.51,0.61,1.12,1.59,0.88,0.31,0.27,0.12,0.44,,
4,1,2,20,20,1,1,36,35,3,2,3,3,3,3,4,4,3,4,4,5,4.57,4.86,-0.05,-1.35,-1.06,-0.95,-0.46,-1.21,0.83,-0.16,-1.8,-0.49,0.34,0.67,0.52,0.89
5,1,2,49,55,2,2,326,326,3,3,5,4,4,4,4,3,4,4,3,4,2.57,3.86,-0.58,0.43,1.31,-0.04,0.61,0.4,-0.22,-1.21,-0.84,0.46,-1.92,-0.69,-2.82,-0.78
6,1,2,24,21,1,1,81,80,4,2,4,5,4,3,4,4,4,4,5,5,,,1.01,-0.81,0.21,1.79,0.97,-1.03,-0.63,0.46,-0.46,0.27,0.8,0.67,,
7,1,2,52,52,2,2,258,258,2,3,3,4,3,3,4,5,5,5,4,4,3.86,3.71,-1.29,0.07,-0.51,0.69,-1.35,-1.57,0.2,1.92,1.27,1.23,-0.33,-0.46,-0.67,-1.01
8,1,2,79,79,2,2,658,658,3,2,4,4,2,3,4,4,4,5,5,5,,,0.66,-0.28,0.03,0.87,-2.17,-0.49,0.41,1.3,-0.27,1.23,1.25,1.12,,
9,1,2,44,44,2,2,230,230,2,2,4,3,4,4,4,4,5,4,4,4,4.14,4.71,-1.65,-0.64,0.94,-1.32,0.61,0.94,0.83,0.04,0.88,0.66,-0.33,0.21,-0.2,0.65
10,1,2,21,21,1,1,50,51,3,2,4,3,4,5,4,4,5,3,4,3,4.14,3.86,-0.41,-0.1,0.4,-0.77,0.08,1.48,0.83,-0.58,0.88,-0.88,0.12,-1.6,-0.2,-0.78
11,1,2,50,57,2,2,273,273,4,3,3,4,3,5,4,4,4,4,4,4,3,4.43,1.19,0.43,-0.7,1.06,-0.64,1.48,-0.63,0.25,-0.27,0.27,-1.01,-0.24,-2.1,0.18
12,1,2,20,26,1,1,10,10,3,2,5,5,4,3,3,3,3,4,4,5,,,-0.41,-0.99,1.31,1.6,-0.1,-1.03,-1.68,-1.21,-1.03,0.27,0.34,0.89,,
13,1,2,56,56,2,2,306,306,3,2,4,4,4,4,4,4,4,4,5,4,4.57,4.43,-0.23,-0.81,0.4,0.87,0.79,0.76,0.83,0.25,-0.27,0.46,0.57,0.21,0.52,0.18
14,1,2,50,48,2,2,36,36,2,4,5,3,4,3,4,3,5,3,4,4,4.43,3.43,-1.11,1.85,1.49,-0.77,0.26,-0.49,-0.42,-2.46,1.07,-1.26,0.34,-1.14,0.28,-1.49
15,1,2,51,56,2,2,256,256,2,2,4,3,3,4,5,4,4,4,4,4,,,-1.29,-0.28,0.58,-0.4,-0.64,-0.31,1.24,0.46,0.31,0.08,-0.33,-1.14,,
16,1,2,51,50,2,2,281,281,4,2,2,3,3,4,4,4,4,5,4,5,,,0.84,-1.35,-1.97,-0.22,-0.64,0.04,0.41,1.09,0.12,1.61,-0.11,0.44,,
17,1,2,20,25,1,1,15,15,3,2,4,4,4,4,4,4,3,5,4,4,,,-0.58,-0.81,0.21,1.06,-0.1,0.22,-0.22,-0.16,-1.41,1.04,0.12,0.21,,
18,1,2,44,55,2,2,266,266,2,3,5,4,4,4,4,4,5,5,4,4,,,-1.29,0.07,1.13,0.87,0.61,0.94,0.41,0.04,1.46,1.8,0.12,-0.24,,
19,1,2,73,74,2,2,631,631,3,2,4,4,4,5,5,4,4,5,4,4,,,-0.23,-0.81,0.4,1.06,0.97,1.83,1.45,-0.16,-0.46,1.42,-0.79,0.21,,
20,1,2,44,44,2,2,252,252,2,2,5,4,3,3,4,4,5,5,5,5,4.29,5,-1.29,-0.46,1.13,0.87,-0.64,-1.39,-0.01,0.67,1.27,1.61,0.57,1.12,0.04,1.13
21,1,2,59,49,2,2,251,251,3,3,4,4,4,4,4,4,2,4,3,5,4.86,4.71,0.13,0.61,0.58,0.33,1.15,0.58,-0.22,0.25,-2.75,-0.49,-1.47,0.67,1,0.65
22,1,2,52,50,2,2,246,246,3,2,5,5,4,5,4,4,5,4,5,5,4.71,4.71,0.13,-0.28,1.31,1.6,0.97,2.01,0.2,0.25,1.07,0.27,1.02,0.67,0.76,0.65
23,1,2,21,29,1,1,8,8,3,2,4,5,4,4,3,4,4,4,5,5,4.71,4.71,0.3,-1.35,0.76,1.42,0.44,0.22,-1.05,-0.37,-0.65,0.08,1.02,1.12,0.76,0.65
24,1,2,52,53,2,2,287,287,3,2,4,4,4,4,4,4,3,4,4,5,,,0.13,-0.99,0.58,0.69,0.08,0.22,-0.01,-0.58,-1.8,0.85,-0.56,0.89,,
25,1,2,24,28,2,2,39,39,3,3,4,4,3,3,3,3,4,3,5,5,,,0.66,0.61,0.4,0.51,-0.38,-1.21,-1.47,-1.21,0.31,-1.07,0.57,0.67,,
26,1,2,50,51,2,2,317,317,3,1,4,4,4,4,4,4,4,3,4,4,4.57,4.14,-0.23,-1.52,0.58,0.87,0.61,-0.21,-0.01,-0.16,-0.07,-1.45,-0.33,-0.92,0.52,-0.3
27,1,2,50,67,2,2,197,197,3,4,4,3,4,4,4,4,5,4,3,4,4,3.43,0.13,1.85,0.58,-0.4,0.26,0.22,-0.42,0.04,1.07,0.46,-1.24,-0.92,-0.43,-1.49
28,1,2,43,44,2,2,255,255,5,3,3,3,4,3,3,4,3,4,4,4,,,2.26,0.07,-1.43,-0.4,-0.1,-1.21,-1.26,0.04,-1.61,0.08,-0.79,-0.46,,
